日期,沪深300指数,股债利差,股债利差均线,5年均线,5年标准差,+1 STD,-1 STD,+2 STD,-2 STD
2014-02-14,2295.58,0.073064,0.063281,0.0488408078470825,0.0199174504130168,0.0687582582600993,0.0289233574340657,0.08867570867311611,0.0090059070210489
2014-02-17,2311.65,0.072171,0.063377,0.04886425527638191,0.01992116373504596,0.06878541901142787,0.028943091541335952,0.08870658274647383,0.009021927806289992
2014-02-18,2282.44,0.073448,0.063432,0.048888937751004016,0.019926382140624803,0.06881531989162881,0.028962555610379213,0.08874170203225362,0.00903617346975441
2014-02-19,2308.66,0.071371,0.063481,0.04891148746238716,0.01992909967616961,0.06884058713855677,0.02898238778621755,0.08876968681472638,0.009053288110047943
2014-02-20,2287.44,0.072109,0.06353,0.04893473146292585,0.019932632861476247,0.0688673643244021,0.029002098601449606,0.08879999718587835,0.00906946573997336
2014-02-21,2264.29,0.073365,0.063547,0.048959186186186186,0.019937632311328553,0.06889681849751474,0.029021553874857633,0.0888344508088433,0.00908392156352908
2014-02-24,2214.51,0.076259,0.063635,0.048986486,0.019946341893358047,0.06893282789335806,0.029040144106641956,0.08887916978671609,0.00909380221328391
2014-02-25,2157.91,0.077657,0.063694,0.049015127872127875,0.019956950557829013,0.0689720784299569,0.029058177314298862,0.0889290289877859,0.009101226756469849
2014-02-26,2163.41,0.078853,0.063757,0.04904490618762475,0.019969239222965833,0.06901414541059059,0.029075666964658915,0.08898338463355641,0.009106427741693082
2014-02-27,2154.11,0.078199,0.063816,0.04907397308075773,0.019980489471163064,0.0690544625519208,0.029093483609594663,0.08903495202308385,0.009112994138431599
2014-02-28,2178.97,0.0779,0.06384,0.049102684262948205,0.019991237153715688,0.0690939214166639,0.029111447109232517,0.08908515857037957,0.00912020995551683
2014-03-03,2190.37,0.077855,0.064036,0.04913129353233831,0.020001852122966297,0.06913314565530461,0.029129441409372014,0.08913499777827091,0.009127589286405717
2014-03-04,2184.27,0.0771,0.064058,0.04915909542743539,0.02001133648016112,0.06917043190759652,0.029147758947274272,0.08918176838775763,0.009136422467113152
2014-03-05,2163.98,0.078105,0.064081,0.04918784011916584,0.020022176795480597,0.06921001691464644,0.029165663323685243,0.08923219371012703,0.009143486528204646
2014-03-06,2173.63,0.077799,0.064136,0.04921622420634921,0.020032512683842995,0.0692487368901922,0.029183711522506216,0.0892812495740352,0.009151198838663221
2014-03-07,2168.36,0.07775,0.06419,0.049244503468780974,0.020042713437326568,0.06928721690610753,0.029201790031454407,0.08932993034343412,0.00915907659412784
2014-03-10,2097.79,0.081145,0.064317,0.04927608811881189,0.0200579111757073,0.0693339992945192,0.029218176943104586,0.08939191047022649,0.009160265767397285
2014-03-11,2108.66,0.080686,0.064344,0.049307156280909994,0.020072302123324247,0.06937945840423423,0.029234854157585748,0.08945176052755849,0.0091625520342615
2014-03-12,2114.13,0.081045,0.064372,0.049338517786561266,0.020087163698066415,0.06942568148462769,0.02925135408849485,0.08951284518269409,0.009164190390428435
2014-03-13,2140.33,0.079533,0.064397,0.04936832477788746,0.02009963786918754,0.069467962647075,0.02926868690869992,0.08956760051626254,0.009169049039512378
2014-03-14,2122.84,0.080828,0.064456,0.04939935009861933,0.02011399209718453,0.06951334219580385,0.0292853580014348,0.08962733429298839,0.009171365904250273
2014-03-17,2143.04,0.080188,0.064576,0.049429683743842365,0.02012728553994773,0.0695569692837901,0.029302398203894634,0.08968425482373782,0.009175112663946904
2014-03-18,2138.13,0.080044,0.064602,0.04945981594488189,0.020140282498705576,0.06960009844358747,0.029319533446176316,0.08974038094229304,0.00917925094747074
2014-03-19,2120.87,0.0807,0.064629,0.04949053392330384,0.020154189920154972,0.06964472384345881,0.029336344003148867,0.08979891376361379,0.009182154082993894
2014-03-20,2086.97,0.081922,0.064688,0.049522391944990175,0.0201699075888363,0.06969229953382647,0.029352484356153875,0.08986220712266277,0.009182576767317575
